route_id_idx,target_stop_idx,distance_to_target_stop_m,current_speed_mps,time_of_day_min,day_of_week,current_delay_sec,is_raining,headway_to_prev_bus_sec,tta_sec
8,21,4191.16,6.72,3,1,-488.88,0,1265.01,859.83
20,85,770.74,7.02,1310,5,426.1,1,1287.95,397.38
10,64,505.71,8.89,1315,2,-296.87,0,946.43,10.0
1,54,3351.99,6.68,757,5,-415.15,1,1195.64,625.24
20,72,468.18,8.32,1040,0,-247.46,0,791.46,10.0
18,100,548.75,10.12,816,4,-395.3,1,1749.8,10.0
4,79,4261.06,8.35,465,0,266.98,0,326.5,1109.72
6,13,690.56,12.5,136,2,957.05,1,1634.45,683.6
16,13,3021.72,4.04,994,3,242.84,0,734.86,1079.95
12,81,2648.82,5.46,492,1,587.81,1,300.14,1035.18
15,55,1431.27,5.85,376,1,480.98,0,302.01,570.1
17,67,3606.21,14.1,292,0,-286.04,0,1747.7,410.38
5,38,4407.68,12.66,1325,2,157.39,1,1081.9,846.57
2,5,4023.77,11.2,53,6,-31.21,0,1316.73,592.36
16,87,4497.44,10.93,780,4,950.21,0,1296.1,1275.91
8,66,4782.69,9.82,1355,1,-38.38,1,1090.14,861.13
17,69,4814.4,9.46,972,3,-900.0,0,655.44,503.05
12,32,4405.29,11.62,1170,3,832.47,1,1436.97,1314.76
6,4,4416.27,13.26,825,0,-111.1,0,1492.21,652.51
13,76,2586.59,11.17,294,1,7.39,0,911.76,483.13
2,69,1488.38,7.16,585,0,384.76,1,723.01,602.71
16,9,2420.51,13.52,21,1,-307.95,0,1788.18,255.65
11,6,421.57,10.15,1056,5,795.03,0,866.58,423.48
14,28,3499.04,6.21,883,1,338.45,1,1628.83,1142.51
5,14,3754.6,8.69,1186,0,-351.4,0,1637.23,684.12
20,7,3877.52,6.75,198,2,91.59,1,601.48,981.49
8,37,1205.15,9.09,955,6,-436.03,0,1781.22,51.73
17,94,3637.25,12.35,10,4,313.69,1,1498.99,695.75
19,32,2842.28,10.34,241,3,-114.95,0,1659.04,422.01
5,89,3478.38,11.7,142,1,-332.2,0,1741.86,501.58
8,75,4367.75,13.15,1341,3,414.94,0,696.14,977.89
2,40,903.6,9.29,13,2,539.39,1,1338.89,557.53
20,54,313.94,14.96,913,2,11.4,0,839.45,31.5
14,96,4218.22,10.56,861,4,-487.49,1,1045.25,515.19
20,97,2484.68,8.62,577,6,858.8,1,1694.84,924.73
14,96,744.68,8.11,99,5,-7.67,0,896.68,179.33
6,88,3346.84,14.69,837,0,242.19,0,990.23,549.05
12,22,2323.57,6.7,1418,1,-628.55,0,1594.66,184.32
10,75,3563.21,5.9,575,5,254.12,0,1169.56,1187.7
14,78,2834.89,14.87,1274,4,-96.49,0,662.04,329.86
4,58,1649.16,4.54,1008,2,644.2,0,572.84,790.82
12,51,3552.94,14.7,745,3,121.02,0,712.68,623.63
1,64,4206.76,9.97,1241,2,65.23,0,1341.42,926.51
18,30,3328.54,5.94,1076,4,724.59,0,490.87,1302.38
12,72,543.36,11.51,1182,0,270.44,0,1653.47,232.55
0,87,1554.66,7.91,454,0,1057.15,0,528.25,806.64
5,89,2976.6,9.7,967,5,1458.88,0,870.89,1382.26
11,4,2054.23,12.19,1316,6,203.99,0,1461.75,445.14
10,79,3272.63,15.7,1147,6,-226.19,0,1183.05,292.4
14,27,2741.89,12.16,1167,1,-181.0,0,746.26,315.68
9,38,2673.3,7.57,958,0,-5.89,0,1567.19,524.35
9,46,4761.88,12.94,886,5,-110.15,1,1333.18,850.67
4,67,1446.55,8.17,530,3,140.02,0,571.06,299.45
2,97,2417.17,8.12,660,0,-210.1,0,1365.55,361.83
1,63,768.55,10.14,1397,4,206.71,1,1294.06,209.7
8,67,2267.81,5.7,827,1,-213.39,0,1368.2,433.85
2,85,3380.49,10.58,726,3,219.89,0,1476.78,631.31
12,92,3481.02,4.59,1016,6,639.49,0,508.54,1418.0
15,29,1249.75,14.92,347,2,21.9,0,1610.44,225.13
17,71,3800.83,10.9,1184,4,-247.95,1,1032.16,625.37
3,81,2626.83,7.47,405,2,-175.08,0,538.31,438.53
9,29,3634.97,4.47,1090,6,-126.98,0,716.97,1165.18
0,35,3071.22,12.43,832,5,356.84,1,1590.24,701.16
3,24,1239.5,5.29,1196,3,394.3,1,1651.33,573.15
18,30,400.61,14.95,777,0,-69.21,0,669.34,10.0
8,27,1586.05,6.19,882,6,-123.28,0,1211.31,341.94
19,35,2682.5,13.87,1254,1,273.73,0,1139.74,543.83
4,85,4822.73,9.19,1206,1,-95.0,0,1548.41,967.43
12,84,4188.09,3.95,492,4,-82.55,0,459.51,1368.02
20,25,723.28,11.52,545,3,132.84,0,1631.48,234.2
16,63,3955.83,6.56,392,0,405.8,0,323.06,1214.67
7,48,3108.27,7.15,955,6,364.34,0,1484.92,908.16
2,23,274.3,9.62,147,4,55.4,0,1789.91,53.11
4,4,3335.48,5.82,1375,1,358.36,0,1761.43,1009.19
17,66,694.79,9.72,1405,3,560.4,1,1762.19,489.07
12,52,4609.46,5.44,1311,3,68.99,0,714.01,1239.49
17,21,1441.58,9.74,1195,2,368.17,1,1633.64,521.61
7,45,3669.6,7.45,646,6,482.2,0,1254.03,1223.27
17,94,2493.13,8.86,1430,3,13.48,1,957.06,673.72
14,24,3829.5,9.18,1134,1,530.07,0,466.74,1008.1
20,45,3118.33,12.84,922,1,323.39,0,1265.07,622.23
18,94,1597.46,8.85,1234,4,-331.89,0,1372.04,151.93
7,20,242.45,8.88,941,3,-262.51,0,1082.79,10.0
19,3,358.74,7.72,535,1,192.56,0,717.25,174.9
20,30,4143.14,8.28,18,4,-252.98,0,864.73,802.34
10,56,4672.26,9.96,160,0,163.54,0,1789.35,1039.77
15,68,1003.93,12.0,137,1,506.1,0,1437.2,510.54
18,41,4278.37,9.62,921,2,-814.23,0,1724.82,444.17
6,38,2532.66,5.57,640,0,-139.3,0,1078.6,630.42
20,29,1485.45,8.53,617,5,265.9,0,1769.8,377.31
12,69,420.29,14.06,1251,2,30.49,0,1093.31,33.68
17,31,3352.57,8.35,1171,6,392.85,1,1349.31,982.95
16,18,1612.62,6.14,852,3,183.24,0,781.5,453.83
16,23,662.37,4.83,1377,3,570.13,1,698.07,562.27
1,21,4264.88,6.38,1089,1,897.25,0,337.36,1535.48
16,63,1764.91,12.58,276,3,-17.66,0,1504.93,175.53
13,26,4738.53,8.99,679,1,211.32,1,1012.4,1050.06
6,51,2313.31,6.59,378,1,39.35,0,356.42,550.96
8,46,1059.62,11.96,237,1,-337.17,0,1551.91,18.49
7,32,3030.75,7.86,1014,4,750.38,1,880.65,1042.99
12,33,913.18,4.64,1125,1,294.24,0,616.44,415.11
4,98,1018.32,5.19,264,3,350.87,1,976.87,502.18
0,84,2158.58,5.88,545,0,91.41,1,1292.7,791.46
2,32,718.7,11.86,271,1,-120.62,0,1604.45,68.8
3,57,2612.01,13.89,142,6,437.39,0,1684.33,639.68
12,78,1375.41,6.69,645,2,-468.27,0,872.08,10.0
18,29,4031.54,12.4,595,0,-66.56,0,1630.01,728.98
9,18,4044.04,7.3,979,4,720.37,1,367.55,1334.76
8,63,2879.14,4.88,819,0,297.31,1,1318.57,1031.36
15,92,4206.95,5.91,431,5,-11.27,0,695.3,991.89
11,32,3714.07,13.69,1224,4,-336.13,0,1008.98,299.15
20,50,2281.71,8.23,504,4,90.66,0,772.05,506.47
8,0,1417.9,9.48,1285,5,-524.99,0,1166.99,10.0
7,13,3092.82,10.17,748,3,-620.36,0,606.61,185.2
16,63,2612.07,8.39,1386,5,32.32,1,736.61,597.87
12,63,3541.07,5.65,906,4,539.05,1,1658.71,1275.73
4,7,4328.11,12.43,173,6,-15.45,1,1560.43,657.27
7,83,4511.57,12.5,331,1,534.62,0,1375.74,1095.37
13,81,780.47,6.72,712,0,399.44,0,1235.99,420.04
1,80,3504.92,5.84,267,2,239.48,0,1569.63,971.9
5,27,1998.22,4.04,1130,1,661.7,0,654.17,998.5
8,62,584.48,3.69,1098,1,1.81,0,607.01,129.25
4,55,3833.34,10.17,558,3,382.09,0,1315.19,898.29
7,33,4224.44,13.07,1227,5,-13.79,0,633.04,764.66
3,25,291.08,3.66,362,2,542.09,0,473.55,347.61
5,67,4974.8,11.07,200,0,68.69,0,781.9,1034.08
12,85,1309.85,13.27,342,2,-541.68,0,1450.82,10.0
10,67,1801.66,11.26,1303,4,223.88,0,1186.68,470.8
18,36,3681.01,7.2,519,3,1270.16,1,512.08,1405.97
19,40,4397.74,5.94,882,2,22.7,0,1505.55,1156.0
14,26,2605.25,13.66,760,2,-373.34,0,1776.89,285.28
12,34,1082.33,11.4,1352,3,447.58,0,958.12,414.32
10,66,3493.41,14.52,319,5,236.74,0,1000.09,672.4
4,0,438.24,11.13,140,4,114.96,1,725.28,182.48
3,29,220.04,7.92,1098,2,951.95,0,303.65,493.39
1,15,2443.47,9.92,321,1,332.03,1,1081.57,571.45
6,52,4226.93,5.34,912,0,-121.94,0,1511.53,1047.63
9,9,4125.02,12.14,659,1,142.91,0,1263.0,702.23
7,81,2067.08,10.38,1313,1,-201.68,1,723.3,388.0
17,7,118.72,6.94,324,3,209.96,1,924.47,178.09
14,50,2225.71,16.1,176,5,79.61,0,1192.58,355.18
9,46,918.07,7.78,234,4,114.68,0,1732.78,201.23
18,11,4997.38,8.85,912,4,-21.91,0,733.17,1106.0
8,70,3861.08,11.48,209,4,230.0,1,1166.74,785.74
7,6,716.05,3.29,1026,3,892.45,1,647.51,766.72
20,43,589.35,8.37,557,4,176.92,0,623.19,118.25
16,11,3016.15,4.6,540,2,292.12,1,1145.9,1000.45
11,26,2919.24,7.5,174,5,-566.35,0,1010.16,292.24
11,15,2883.65,9.65,372,3,844.68,0,797.86,914.79
7,66,3579.66,9.73,156,1,-119.26,0,671.66,727.25
10,14,2850.34,12.26,277,0,129.89,0,1343.68,596.01
12,52,2683.6,8.8,1091,6,266.81,0,623.29,625.14
16,4,2536.83,6.41,360,2,453.54,0,512.56,977.5
17,77,2778.23,15.0,1246,5,55.4,0,1177.6,442.55
11,69,633.58,9.07,579,2,179.47,0,1743.62,222.33
5,81,4907.77,11.97,1283,3,206.94,1,1508.77,933.38
14,93,3239.01,7.46,1062,0,610.55,0,307.26,886.92
7,65,2621.95,7.46,943,2,181.35,0,1083.32,731.99
6,66,2023.05,13.57,628,5,-483.01,1,1545.06,156.82
3,64,1277.95,3.58,1081,1,54.3,1,469.49,547.48
18,20,2631.82,8.53,281,2,-56.74,0,1536.44,530.43
19,92,1351.01,5.33,1391,2,-414.33,0,954.29,195.75
14,23,4151.06,12.71,188,3,-285.65,0,1651.06,510.48
12,68,2019.94,11.99,180,5,-52.06,0,1467.75,245.13
20,60,2243.66,4.84,383,2,450.65,0,684.38,920.78
4,24,1338.79,14.02,205,0,70.9,0,1568.03,314.04
16,15,484.43,7.69,937,1,-516.03,0,1221.12,10.0
15,51,3197.58,10.14,916,4,-88.14,0,1210.67,627.57
6,69,4612.87,8.1,406,1,840.01,1,417.14,1419.36
11,46,2233.09,9.83,191,0,233.68,0,1208.01,581.96
0,13,4232.06,10.01,758,3,-96.97,0,1447.43,699.52
15,5,680.61,9.86,1263,5,-196.48,0,758.06,10.0
18,56,4003.74,8.25,518,5,10.32,0,472.58,759.19
16,5,1736.84,5.68,568,3,-211.1,0,1119.32,358.49
1,93,1932.21,8.2,451,0,48.55,0,551.0,344.96
9,56,156.26,10.48,201,0,-287.15,0,1774.75,10.0
16,75,462.81,8.68,386,1,572.58,0,713.87,418.85
14,19,1556.72,11.24,949,3,-389.87,0,618.13,108.61
9,72,3562.49,8.48,559,5,305.3,0,1736.08,763.82
14,58,3709.02,10.88,559,4,314.2,0,1089.78,801.99
16,8,2306.25,8.68,1096,4,270.36,0,598.82,593.16
3,92,2612.36,11.38,914,3,89.36,0,890.43,466.85
19,46,244.57,5.77,736,0,-70.32,0,1693.4,26.54
15,81,1923.78,10.93,1361,5,-404.86,0,939.97,74.78
13,7,435.45,6.45,489,0,198.39,1,521.07,324.55
10,59,4184.85,6.44,679,3,-225.18,0,1540.78,893.55
12,3,2992.14,5.28,134,4,402.86,0,852.04,1012.51
5,37,648.22,12.26,924,4,236.61,1,1591.79,290.22
11,59,2272.2,13.67,745,6,-147.82,0,1571.19,337.31
16,57,4711.49,8.93,96,0,52.56,0,832.64,1163.71
16,75,4307.94,5.57,413,0,-609.63,0,733.16,850.66
20,65,2706.26,10.41,619,1,-139.96,0,1014.28,481.33
1,72,1138.28,5.73,1034,5,676.83,0,749.63,627.23
8,46,3793.94,12.02,18,2,0.13,0,1094.35,679.75
15,76,3513.47,6.43,244,4,-298.74,0,1070.23,716.81
16,52,3904.8,6.82,528,2,1100.28,0,713.18,1300.65
0,92,4124.8,8.34,335,0,527.59,0,1549.87,1006.33
7,17,4518.69,13.77,559,1,-19.06,0,1067.29,861.9
12,81,1939.8,16.47,556,5,-167.92,0,1270.87,100.37
3,59,3641.41,4.75,1145,6,-183.09,1,1180.79,1017.52
14,47,425.67,12.82,1159,0,225.34,0,1221.61,181.48
11,28,1994.44,6.24,1115,0,15.59,0,663.25,505.38
9,75,2422.21,7.02,1292,2,348.66,0,976.59,670.48
11,10,1020.81,8.83,592,1,-47.02,0,1586.2,233.77
14,66,4701.44,7.7,1245,4,-329.57,0,829.11,759.3
6,52,4093.2,8.42,387,6,911.18,1,390.36,1318.54
14,4,3187.2,7.71,689,5,-61.23,0,1217.04,649.11
7,74,4082.3,16.49,892,5,82.57,0,991.97,734.18
19,74,1866.09,6.26,498,5,-13.48,0,308.63,483.2
3,31,749.96,11.25,1258,1,74.79,0,1297.14,208.71
10,65,3566.25,10.97,938,0,110.29,0,853.96,803.67
3,41,3603.99,7.93,1037,2,628.15,1,686.55,1122.25
0,63,4070.27,5.97,192,6,-396.25,0,1738.49,877.07
0,58,3528.23,15.51,779,5,131.6,0,1657.94,694.16
1,35,484.93,5.32,875,2,-242.23,0,1328.22,10.0
10,6,2557.72,9.63,954,6,74.35,0,750.26,459.09
16,94,4869.57,5.26,1287,6,1.5,1,1770.41,1565.77
17,70,1132.89,14.42,762,3,-223.97,0,689.79,47.23
7,92,1239.28,5.99,1083,1,63.56,0,426.3,324.1
5,87,859.13,10.26,789,1,-97.05,1,1174.2,129.57
9,56,3604.41,12.25,180,1,310.75,0,1289.15,836.27
6,12,4948.31,7.16,392,3,962.93,0,635.75,1650.37
2,47,2093.34,14.03,186,0,518.73,0,1215.48,609.87
6,71,1923.65,14.9,1210,5,69.78,0,1188.92,345.16
5,71,2837.95,14.28,184,5,-215.38,0,1268.14,402.86
19,88,223.66,11.24,286,5,448.18,0,1348.17,260.37
19,76,1237.07,7.0,931,0,-299.93,0,1738.2,123.95
14,58,2990.74,10.22,1252,0,664.5,1,1215.51,1006.3
10,84,3838.18,14.11,848,2,555.77,0,1211.82,771.5
19,8,4211.98,6.64,1024,3,32.39,0,664.99,899.51
0,41,2021.26,14.0,138,6,226.22,0,1278.94,424.22
17,36,3772.19,6.03,498,5,-333.38,0,499.32,675.69
5,18,1042.32,7.7,1051,1,372.0,0,847.76,404.55
16,99,3151.18,6.42,82,1,255.06,0,706.79,938.31
11,71,4701.08,4.65,369,3,341.9,0,463.77,1535.75
7,9,968.24,14.42,151,4,217.56,0,1541.05,280.17
17,83,3811.58,6.68,1155,6,-290.65,0,1128.07,904.79
19,85,949.38,15.95,883,5,87.34,0,764.51,119.35
5,46,174.37,13.73,90,1,412.14,0,1227.77,242.92
7,74,4024.81,9.64,4,1,27.29,0,742.45,800.08
0,59,3123.03,10.96,107,3,23.28,1,895.49,693.14
20,55,1802.84,13.11,1270,6,-456.16,0,1336.76,39.01
9,20,3751.38,12.1,21,5,-151.61,1,1601.51,682.26
14,53,3833.23,7.04,268,0,-79.71,0,620.11,804.62
14,4,1627.83,8.62,389,5,-21.64,0,806.92,266.36
14,18,3890.5,11.48,750,3,221.18,0,1728.22,634.91
16,70,1351.15,6.39,1088,2,904.52,0,342.06,740.45
3,44,1178.43,7.31,236,1,-99.86,0,1202.91,256.63
11,56,1499.93,5.43,797,1,-76.78,0,1537.16,337.77
5,55,4238.86,9.91,493,3,656.78,0,590.41,1058.56
19,5,1693.53,7.22,446,2,312.29,1,814.31,559.61
15,10,2326.58,4.11,1001,2,-610.29,1,339.42,497.87
1,24,4006.33,4.62,1016,5,29.07,0,440.29,1242.23
11,41,4641.89,3.57,1018,2,279.37,0,868.05,1833.48
14,47,3518.81,8.88,1356,3,342.93,1,925.79,969.23
10,16,1186.73,8.51,464,3,169.42,1,502.47,258.76
2,14,2033.4,5.57,460,1,207.54,0,740.34,645.53
15,17,377.73,9.12,1053,4,-334.97,0,487.15,10.0
14,56,791.43,5.45,1311,3,102.15,0,1387.66,226.55
6,67,4888.67,8.3,477,6,78.32,0,580.61,1054.67
1,65,1718.39,10.23,143,5,-197.49,0,719.46,206.08
11,94,2407.66,12.81,1371,0,138.08,0,1213.97,421.28
17,42,4822.73,13.9,1218,3,-301.88,0,622.06,719.75
0,76,3339.59,11.5,1397,1,-108.12,0,1441.66,558.87
1,11,1726.66,5.82,587,1,-321.26,0,1257.77,289.72
13,65,347.04,7.45,523,4,68.17,0,353.93,81.98
5,35,4958.12,9.78,1045,5,498.05,1,802.52,1252.49
4,67,1696.53,11.65,709,3,43.14,0,1267.89,267.15
12,26,2069.93,13.91,615,2,193.95,0,616.36,459.33
1,44,4945.29,9.8,730,0,67.98,0,765.62,972.3
15,98,4467.46,8.86,192,6,98.36,0,1083.24,974.29
2,59,728.8,7.57,1387,3,-119.73,0,1564.91,110.74
12,59,3860.74,14.85,51,6,-51.41,0,835.49,611.69
10,76,2752.73,8.78,1043,2,29.8,1,328.86,649.69
19,41,854.21,13.94,1255,2,-457.58,0,689.57,10.0
11,42,4713.73,5.57,45,4,224.71,0,1519.83,1315.03
16,6,2325.5,4.47,522,3,894.69,1,881.59,1088.18
16,66,2313.52,6.15,1437,3,6.58,0,1659.93,519.04
19,37,2331.38,5.4,216,1,703.59,1,914.96,980.54
0,0,896.44,11.2,1211,1,-297.5,0,650.36,10.0
7,23,4034.76,10.93,755,2,-80.95,0,1654.52,776.65
3,36,495.02,10.16,303,5,812.91,1,1594.38,562.46
4,29,3394.03,12.33,32,1,-660.67,1,1127.83,238.76
2,6,4521.78,7.95,421,4,51.14,1,602.13,900.66
9,24,2282.39,10.52,1108,6,-24.68,0,308.6,336.74
4,41,1488.48,5.8,1353,2,128.14,0,1130.2,364.99
5,11,2049.19,8.83,588,4,-376.54,0,1606.98,245.93
15,8,2833.58,5.98,1356,4,569.19,0,652.88,948.83
10,79,4226.61,6.7,951,0,39.58,0,752.33,931.17
10,5,3453.14,3.52,1048,1,144.07,1,401.92,1351.32
0,67,967.7,6.25,993,2,-83.21,1,330.58,210.75
11,76,1474.94,11.87,1170,2,-225.96,0,1753.94,163.75
18,81,4071.29,11.09,698,0,308.0,1,1098.98,938.05
15,27,3409.73,4.61,443,4,-109.31,0,701.53,967.04
14,96,3313.93,7.97,614,6,-519.76,0,682.98,402.79
5,90,3505.27,10.5,108,0,138.0,1,759.82,803.69
8,65,1512.1,6.94,296,5,25.28,1,725.61,354.08
2,61,3246.22,6.22,152,4,-98.54,0,1305.71,757.93
18,72,2903.4,9.03,480,1,442.15,0,656.43,649.05
8,47,968.9,10.33,286,1,108.69,1,1032.45,250.32
16,15,1730.63,10.07,1092,6,3.15,0,311.37,299.79
8,7,3228.6,7.01,190,5,-543.97,0,1694.07,374.16
6,39,4038.4,12.82,1174,4,228.04,0,1758.77,712.89
1,24,3673.62,10.04,870,3,-206.17,0,1374.26,501.18
18,61,3938.6,12.51,215,0,-452.46,0,674.92,285.16
7,81,1653.02,14.26,594,1,93.77,0,928.44,298.57
5,28,1707.98,6.2,685,2,296.96,0,1633.7,566.99
20,53,3345.34,12.29,1245,2,373.91,1,758.02,897.78
12,6,3615.58,5.35,463,5,297.61,0,681.63,1163.42
16,98,3986.01,5.15,223,2,434.39,1,1436.43,1445.03
13,78,447.49,4.8,1050,6,568.27,1,818.09,472.37
1,81,2259.26,14.83,764,0,-502.26,0,899.97,29.38
20,60,3946.81,9.76,290,4,559.8,1,907.98,1026.52
5,80,4979.1,7.18,324,4,-291.77,1,600.27,1213.64
0,96,3557.26,5.73,1155,3,-86.52,0,1492.83,864.98
15,33,363.77,13.02,873,0,50.68,0,1009.49,101.96
18,29,3912.43,8.36,825,3,218.2,1,1790.56,878.22
13,8,134.21,5.18,1321,2,34.68,0,821.9,10.0
2,61,1946.65,7.36,458,3,1026.51,1,896.27,983.1
2,55,1489.68,12.61,568,3,512.95,0,766.8,469.39
15,91,3870.27,13.03,585,2,16.06,0,1204.45,794.25
13,77,2282.72,5.9,607,2,532.2,1,1385.67,926.74
5,44,1011.21,5.33,534,1,326.92,0,369.49,462.13
0,79,4908.16,11.28,1357,4,-114.12,0,1725.68,970.96
17,42,438.28,7.95,1024,4,-70.55,0,657.88,20.88
14,41,2865.54,12.59,55,0,-101.16,0,1455.2,306.58
17,70,2124.23,11.9,1238,3,-155.6,0,979.32,243.27
12,87,821.1,14.11,1143,0,-415.04,0,607.26,10.0
20,49,4832.58,8.9,167,1,132.74,1,1241.47,981.77
17,16,1923.2,11.02,156,6,501.47,0,665.41,612.89
4,18,526.84,5.33,537,0,716.16,0,414.2,492.82
2,48,4257.51,9.36,1378,3,-277.79,1,649.28,674.8
15,15,2306.72,12.48,1180,6,175.77,0,1254.84,385.84
12,83,1158.55,11.13,67,4,-184.2,0,1754.52,143.56
1,25,2603.76,6.01,995,1,-337.49,0,383.02,565.02
7,65,4292.2,11.48,77,2,216.81,0,682.13,843.48
20,50,1039.51,9.59,479,2,154.51,0,808.53,254.34
4,22,3966.21,6.06,1032,6,824.42,0,801.92,1489.73
13,9,4657.81,4.26,363,6,503.24,0,481.67,1765.19
3,41,914.65,14.7,105,4,106.7,0,1514.65,163.28
18,10,3154.56,10.29,894,3,72.86,0,837.07,529.47
9,75,2582.76,12.2,751,5,209.7,1,945.46,724.1
5,16,3155.24,14.72,1317,2,-133.16,0,1221.61,303.62
19,95,4243.77,13.28,1321,2,-188.97,0,1053.59,645.14
7,86,678.07,14.78,575,6,396.25,0,914.89,338.84
17,87,3124.38,14.93,308,1,-427.1,0,1642.27,283.27
9,18,3457.36,7.65,861,2,-547.81,0,803.71,353.43
12,82,1782.05,12.52,89,2,52.31,0,1687.48,341.68
4,6,4669.58,7.57,1111,3,434.94,0,827.9,1417.63
12,40,743.31,15.5,1201,6,229.11,0,961.16,253.45
0,3,1206.37,8.26,25,4,-351.98,0,1781.59,22.94
15,93,3868.4,5.88,67,6,393.35,0,1662.29,1114.07
19,53,3143.81,5.84,98,4,-355.39,1,1575.68,648.96
4,50,1103.53,3.69,376,6,-289.52,1,482.69,339.46
